
"(PDH-CSV 4.0)","\\NIKKI\Processor(_Total)\% Processor Time"
"05/04/2015 13:42:36.417","24.343848"
"05/04/2015 13:42:37.429","22.928817"
"05/04/2015 13:42:38.433","15.323018"
"05/04/2015 13:42:39.433","11.864481"
"05/04/2015 13:42:40.433","29.803565"
"05/04/2015 13:42:41.433","15.764278"
"05/04/2015 13:42:42.433","19.664075"
"05/04/2015 13:42:43.433","11.864481"
"05/04/2015 13:42:44.433","27.463679"
"05/04/2015 13:42:45.433","21.224006"
"05/04/2015 13:42:46.435","15.848433"
"05/04/2015 13:42:47.436","18.965150"
"05/04/2015 13:42:48.436","25.123803"
"05/04/2015 13:42:49.436","9.524595"
"05/04/2015 13:42:50.436","14.984313"
"05/04/2015 13:42:51.436","17.324199"
"05/04/2015 13:42:52.436","36.043248"
"05/04/2015 13:42:53.436","32.143451"
"05/04/2015 13:42:54.436","47.742649"
"05/04/2015 13:42:55.440","26.198978"
"05/04/2015 13:42:56.440","20.444041"
"05/04/2015 13:42:57.440","33.703362"
"05/04/2015 13:42:58.440","50.862501"
"05/04/2015 13:42:59.441","88.312276"
"05/04/2015 13:43:00.442","53.249130"
"05/04/2015 13:43:01.442","66.461708"
"05/04/2015 13:43:02.443","42.340588"
"05/04/2015 13:43:03.443","22.783917"
"05/04/2015 13:43:04.446","36.949320"
"05/04/2015 13:43:05.473","36.205769"
"05/04/2015 13:43:06.473","61.001981"
"05/04/2015 13:43:07.515","39.369677"
"05/04/2015 13:43:08.533","64.756209"
"05/04/2015 13:43:09.533","65.681743"
"05/04/2015 13:43:10.533","14.984323"
"05/04/2015 13:43:11.533","22.783917"
"05/04/2015 13:43:12.533","8.744640"
"05/04/2015 13:43:13.533","9.524595"
"05/04/2015 13:43:14.533","8.744630"
"05/04/2015 13:43:15.533","7.184719"
"05/04/2015 13:43:16.533","9.524595"
"05/04/2015 13:43:17.533","10.304551"
"05/04/2015 13:43:18.533","7.184719"
"05/04/2015 13:43:19.533","19.664075"
"05/04/2015 13:43:20.533","14.984323"
"05/04/2015 13:43:21.534","20.444041"
"05/04/2015 13:43:22.534","24.343838"
"05/04/2015 13:43:23.534","7.184719"
"05/04/2015 13:43:24.534","16.544234"
"05/04/2015 13:43:25.534","9.524595"
"05/04/2015 13:43:26.534","10.304561"
"05/04/2015 13:43:27.534","39.163090"
"05/04/2015 13:43:28.534","8.744630"
"05/04/2015 13:43:29.534","14.204358"
"05/04/2015 13:43:30.534","18.884120"
"05/04/2015 13:43:31.534","16.544244"
"05/04/2015 13:43:32.534","16.544234"
"05/04/2015 13:43:33.534","7.964674"
"05/04/2015 13:43:34.534","10.304561"
"05/04/2015 13:43:35.534","20.444041"
"05/04/2015 13:43:36.534","22.003961"
"05/04/2015 13:43:37.534","20.444041"
"05/04/2015 13:43:38.534","7.964674"
"05/04/2015 13:43:39.535","13.424392"
"05/04/2015 13:43:40.535","7.964674"
"05/04/2015 13:43:41.535","18.884120"
"05/04/2015 13:43:42.535","10.304561"
"05/04/2015 13:43:43.535","26.683724"
"05/04/2015 13:43:44.535","5.624788"
"05/04/2015 13:43:45.535","7.964674"
"05/04/2015 13:43:46.535","11.864481"
"05/04/2015 13:43:47.535","9.524595"
"05/04/2015 13:43:48.535","13.424392"
"05/04/2015 13:43:49.535","15.764278"
"05/04/2015 13:43:50.535","9.524595"
"05/04/2015 13:43:51.535","7.964674"
"05/04/2015 13:43:52.535","14.984323"
"05/04/2015 13:43:53.535","15.764278"
"05/04/2015 13:43:54.537","27.608468"
"05/04/2015 13:43:55.537","35.263293"
"05/04/2015 13:43:56.538","26.683724"
"05/04/2015 13:43:57.538","33.703362"
"05/04/2015 13:43:58.538","17.324199"
"05/04/2015 13:43:59.549","25.938478"
