
"(PDH-CSV 4.0)","\\NIKKI\Processor(_Total)\% Processor Time"
"05/04/2015 16:03:02.724","78.061246"
"05/04/2015 16:03:03.727","68.801585"
"05/04/2015 16:03:04.738","55.254497"
"05/04/2015 16:03:05.751","43.079814"
"05/04/2015 16:03:06.752","36.823214"
"05/04/2015 16:03:07.752","64.121822"
"05/04/2015 16:03:08.753","72.728654"
"05/04/2015 16:03:09.753","43.842852"
"05/04/2015 16:03:10.755","52.517386"
"05/04/2015 16:03:11.786","44.018364"
"05/04/2015 16:03:12.790","53.711548"
"05/04/2015 16:03:13.801","37.012169"
"05/04/2015 16:03:14.801","65.681743"
"05/04/2015 16:03:15.801","71.141471"
"05/04/2015 16:03:16.801","69.581540"
"05/04/2015 16:03:17.805","47.173996"
"05/04/2015 16:03:18.805","60.222025"
"05/04/2015 16:03:19.805","88.300589"
"05/04/2015 16:03:20.806","22.081883"
"05/04/2015 16:03:21.818","55.298709"
"05/04/2015 16:03:22.819","49.353229"
"05/04/2015 16:03:23.819","13.424392"
"05/04/2015 16:03:24.819","23.563882"
"05/04/2015 16:03:25.819","26.683724"
"05/04/2015 16:03:26.819","28.243644"
"05/04/2015 16:03:27.819","25.903768"
"05/04/2015 16:03:28.819","19.664075"
"05/04/2015 16:03:29.836","20.161534"
"05/04/2015 16:03:30.837","21.302707"
"05/04/2015 16:03:31.837","13.424392"
"05/04/2015 16:03:32.837","36.823214"
"05/04/2015 16:03:33.837","26.683724"
"05/04/2015 16:03:34.837","38.383124"
"05/04/2015 16:03:35.837","17.324199"
"05/04/2015 16:03:36.837","25.123803"
"05/04/2015 16:03:37.837","38.383134"
"05/04/2015 16:03:38.837","25.123803"
"05/04/2015 16:03:39.837","22.783917"
"05/04/2015 16:03:40.837","28.243644"
"05/04/2015 16:03:41.837","25.123803"
"05/04/2015 16:03:42.837","21.224006"
"05/04/2015 16:03:43.837","14.984313"
"05/04/2015 16:03:44.837","25.123803"
"05/04/2015 16:03:45.837","31.363486"
"05/04/2015 16:03:46.837","23.563882"
"05/04/2015 16:03:47.838","21.224006"
"05/04/2015 16:03:48.838","26.683724"
"05/04/2015 16:03:49.838","29.803565"
"05/04/2015 16:03:50.838","50.862491"
"05/04/2015 16:03:51.838","48.522615"
"05/04/2015 16:03:52.843","44.122242"
"05/04/2015 16:03:53.843","12.644437"
