Line: 1Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
Line: 2System Idle Process              0 Services                   0         24 K Unknown         NT AUTHORITY\SYSTEM                                     8:55:21 N/A                                                                     
Line: 3smss.exe                       260 Services                   0        200 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Line: 4wininit.exe                    408 Services                   0        420 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Line: 5winlogon.exe                   484 Console                    1      1,668 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Line: 6lsass.exe                      520 Services                   0      4,696 K Unknown         N/A                                                     0:00:30 N/A                                                                     
Line: 7svchost.exe                    632 Services                   0      2,852 K Unknown         N/A                                                     0:00:18 N/A                                                                     
Line: 8svchost.exe                    804 Services                   0      7,588 K Unknown         N/A                                                     0:00:18 N/A                                                                     
Line: 9svchost.exe                    864 Services                   0     11,528 K Unknown         N/A                                                     0:00:23 N/A                                                                     
Line: 10svchost.exe                   1084 Services                   0      7,268 K Unknown         N/A                                                     0:00:10 N/A                                                                     
Line: 11svchost.exe                   1340 Services                   0      6,028 K Unknown         N/A                                                     0:00:17 N/A                                                                     
Line: 12AppleMobileDeviceService.     1456 Services                   0      2,356 K Unknown         N/A                                                     0:00:04 N/A                                                                     
Line: 13SkypeC2CAutoUpdateSvc.exe     1520 Services                   0        480 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Line: 14GingerUpdateService.exe       1652 Services                   0      3,980 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Line: 15svchost.exe                   1812 Services                   0      1,032 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Line: 16VSSVC.exe                     1908 Services                   0        576 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Line: 17WUDFHost.exe                   724 Services                   0        968 K Unknown         N/A                                                     0:00:01 N/A                                                                     
Line: 18dwm.exe                        928 Console                    1     32,264 K Running         NIKKI\abc                                               0:09:30 DWM Notification Window                                                 
Line: 19GoogleInputHandler.exe        1316 Console                    1        944 K Running         NIKKI\abc                                               0:00:00 N/A                                                                     
Line: 20taskhost.exe                  2240 Console                    1      2,924 K Running         NIKKI\abc                                               0:00:00 MCI command handling window                                             
Line: 21sidebar.exe                   2336 Console                    1     10,184 K Running         NIKKI\abc                                               0:05:09 Clock                                                                   
Line: 22chrome.exe                    2360 Console                    1    368,040 K Running         NIKKI\abc                                               0:32:14 Managing Windows Programs from the Command Line- Tasklist - Google Chrom
Line: 23Dropbox.exe                   2452 Console                    1     30,932 K Running         NIKKI\abc                                               0:01:03 Press enter to open the Dropbox menu                                    
