
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0         24 K Unknown         NT AUTHORITY\SYSTEM                                    37:30:21 N/A                                                                     
System                           4 Services                   0        632 K Unknown         N/A                                                     0:20:34 N/A                                                                     
smss.exe                       260 Services                   0        224 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                      356 Services                   0      1,532 K Unknown         N/A                                                     0:00:08 N/A                                                                     
wininit.exe                    408 Services                   0         72 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                      416 Console                    1     95,252 K Running         N/A                                                     0:03:18 N/A                                                                     
winlogon.exe                   484 Console                    1      1,636 K Unknown         N/A                                                     0:00:00 N/A                                                                     
services.exe                   512 Services                   0      4,256 K Unknown         N/A                                                     0:00:38 N/A                                                                     
lsass.exe                      520 Services                   0      5,172 K Unknown         N/A                                                     0:01:21 N/A                                                                     
lsm.exe                        528 Services                   0      1,416 K Unknown         N/A                                                     0:00:43 N/A                                                                     
svchost.exe                    632 Services                   0      3,048 K Unknown         N/A                                                     0:00:36 N/A                                                                     
svchost.exe                    708 Services                   0      3,784 K Unknown         N/A                                                     0:00:12 N/A                                                                     
svchost.exe                    804 Services                   0      9,088 K Unknown         N/A                                                     0:01:06 N/A                                                                     
svchost.exe                    836 Services                   0     71,028 K Unknown         N/A                                                     0:10:21 N/A                                                                     
svchost.exe                    864 Services                   0     13,324 K Unknown         N/A                                                     0:00:40 N/A                                                                     
svchost.exe                   1000 Services                   0      5,520 K Unknown         N/A                                                     0:00:07 N/A                                                                     
svchost.exe                   1084 Services                   0      8,736 K Unknown         N/A                                                     0:00:44 N/A                                                                     
spoolsv.exe                   1308 Services                   0      2,828 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1340 Services                   0      6,364 K Unknown         N/A                                                     0:00:44 N/A                                                                     
armsvc.exe                    1428 Services                   0         64 K Unknown         N/A                                                     0:00:00 N/A                                                                     
